sample_id,question,gold_answer,supporting_sentence,answer_type,difficulty,category_group,page_title,section_title,chunk_id,quality_score,n_clean_contexts,decision,question_clear,answer_in_evidence,answer_unique,needs_title,time_sensitive_ok,notes
seed_000000,When did Pavel Alekseyevich Cherenkov die?,6 January 1990,"Pavel Alekseyevich Cherenkov (Russian: Па́вел Алексе́евич Черенко́в [ˈpavʲɪl ɐlʲɪkˈsʲe(j)ɪvʲɪtɕ tɕɪrʲɪnˈkof]; 28 July 1904 – 6 January 1990) was a Soviet physicist who shared the 1958 Nobel Prize in Physics with Ilya Frank and Igor Tamm ""for the discovery and interpretation of the Cherenkov effect"".",date,easy,person,Pavel Cherenkov,Lead,253253_1361992800_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000001,Where was Clinton Joseph Davisson born?,"Bloomington, Illinois","Clinton Joseph Davisson was born on October 22, 1881, in Bloomington, Illinois, the son of Joseph Davisson, an artisan from Ohio, and Mary Calvert, a schoolteacher from Pennsylvania.",location,easy,person,Clinton Davisson,Biography,930254_1366926984_1_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000002,Who was a Russian-American tailor that invented modern jeans by using sturdy cloth and rivets to strengthen weak points in the seams and partnered with Levi Strauss to mass-produce them?,Jacob William Davis,"Jacob William Davis (Russian: Якоб Яковлевич Юфес , May 14, 1831 – January 20, 1908) was a Russian-American tailor who is credited with inventing modern jeans.",person,easy,person,Jacob W. Davis,Lead,30560630_1361136610_0_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000003,When did Rudolf Ludwig Mössbauer die?,14 September 2011,"Rudolf Ludwig Mössbauer (German: [ˈʁuːdɔlf ˈmœsˌbaʊ̯ɐ] ; 31 January 1929 – 14 September 2011) was a German physicist who shared the 1961 Nobel Prize in Physics with Robert Hofstadter for his discovery of the Mössbauer effect, which is the basis for Mössbauer spectroscopy.",date,easy,person,Rudolf Mössbauer,Lead,231308_1361413149_0_0,1.0,8,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000004,When did Nicolaas Bloembergen pass away?,"September 5, 2017","Nicolaas Bloembergen (March 11, 1920 – September 5, 2017) was a Dutch–American physicist recognized for his work in developing driving principles behind nonlinear optics for laser spectroscopy.",date,easy,person,Nicolaas Bloembergen,Lead,396737_1355775153_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000005,Where did Bower receive her PhD in Oceanography?,the University of Rhode Island,Bower received a Bachelor of Science degree in Physics at Tufts University and her PhD in Oceanography at the University of Rhode Island.,organization,easy,person,Amy Bower,Career,62257127_1357530029_1_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000006,When did Aage Niels Bohr die?,8 September 2009,Aage Niels Bohr (Danish: [ˈɔːwə ˈne̝ls ˈpoɐ̯ˀ] ; 19 June 1922 – 8 September 2009) was a Danish nuclear physicist who shared the Nobel Prize in Physics in 1975 with Ben Roy Mottelson and James Rainwater,date,easy,person,Aage Bohr,Lead,2201_1366919871_0_0,1.0,8,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000007,When was Charles Huron Kaman born?,"June 15, 1919","Charles Huron Kaman ( kə-MAHN; June 15, 1919 – January 31, 2011) was an American aeronautical engineer, businessman, inventor, and philanthropist, known for his work in rotary-wing flight and also in musical instrument design via the Kaman Music Corporation.",date,easy,person,Charles Kaman,Lead,16091389_1336308400_0_0,1.0,8,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000008,In what year was Ted Ellis born?,1963,Ted Ellis (born 1963) is an American artist and former environmental chemist.,numeric,easy,person,Ted Ellis (artist),Lead,35988430_1366153653_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000009,"In which year did Einstein publish four groundbreaking papers that included his special theory of relativity and the equivalence of mass and energy, and how does this compare to the year he endorsed a letter to President Roosevelt about the potential German nuclear weapons program?",1905,"In 1905, sometimes described as his annus mirabilis (miracle year), he published four groundbreaking papers.",date,easy,person,Albert Einstein,Lead,736_1365975877_0_1,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000010,When was Danielle Susan Allen born?,"November 3, 1971","Danielle Susan Allen (born November 3, 1971) is an American classicist and political scientist.",date,easy,person,Danielle Allen,Lead,26993261_1364056821_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000011,When did Karl Ferdinand Braun die?,20 April 1918,Karl Ferdinand Braun (German: [ˈfɛʁdinant ˈbʁaʊ̯n] ; 6 June 1850 – 20 April 1918) was a German applied physicist who shared the 1909 Nobel Prize in Physics with Guglielmo Marconi for their contributions to the development of radio.,date,easy,person,K. Ferdinand Braun,Lead,17297_1365388713_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000012,Where is Daniel Abadi employed?,"University of Maryland, College Park","Daniel Abadi is the Darnell-Kanal Professor of Computer Science at University of Maryland, College Park.",location,easy,person,Daniel Abadi,Lead,67377437_1343535434_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000013,When did Best's father move the family to Missouri?,1839,"In 1839, Best's father, John, moved the family to Missouri, where he built a saw mill to cut lumber for the local pioneers.",date,easy,person,Daniel Best,Early years,7344400_1358181389_1_0,1.0,1,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
seed_000014,When was Charles David 'Charlie' Cole III born?,"April 29, 1955","Charles David ""Charlie"" Cole III (April 29, 1955 – July 14, 2018) was an American rock climber, inventor, and entrepreneur.",date,easy,person,Charles Cole (climber),Lead,80193458_1358318875_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000015,When was Brian Paul Schmidt born?,24 February 1967,Brian Paul Schmidt (born 24 February 1967) is an American Australian astrophysicist at the Australian National University's Mount Stromlo Observatory and Research School of Astronomy and Astrophysics.,date,easy,person,Brian Schmidt,Lead,6231333_1347499262_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000016,What change occurred in Alfvén's title in 1963 compared to his position in 1945?,Chair of Plasma Physics,His title was changed to Chair of Plasma Physics in 1963.,other,medium,person,Hannes Alfvén,Early years,165123_1361409225_2_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000017,In what year did Katherine Louise Bouman become an associate professor at the California Institute of Technology after being named a named professorship holder?,2024,"In 2024, she became an associate professor.",numeric,medium,person,Katie Bouman,Lead,60462526_1341817767_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000018,"What university did Crockett complete their PhD at after attending the University of California, Los Angeles?","King's College, Cambridge","After completing her Bachelor of Science at the University of California, Los Angeles, they completed their PhD at King's College, Cambridge, where she was a Gates Cambridge Scholar.",organization,medium,person,Molly J. Crockett,Career,40767786_1334846323_1_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000019,"Which award did Schwinger share with Kurt Gödel, and what was the significance of this award according to the passage?",Albert Einstein Award,He shared the inaugural Albert Einstein Award with Kurt Gödel.,other,medium,person,Julian Schwinger,Lead,269980_1363885582_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
