eval_id,sample_id,model_name,condition,severity,exact_match,token_f1,semantic_similarity,llm_judge_correct,abstained,hallucinated,prediction,gold_answer
eval_nova-pro_000000,seed_000000,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"November 5, 1948","November 5, 1948"
eval_nova-pro_000001,seed_000001,nova-pro,clean,,1.0,1.0,1.0,True,False,False,24 February 1967,24 February 1967
eval_nova-pro_000002,seed_000002,nova-pro,clean,,1.0,1.0,1.0,True,False,False,17 December 1964,17 December 1964
eval_nova-pro_000003,seed_000003,nova-pro,clean,,1.0,1.0,1.0,True,False,False,1839,1839
eval_nova-pro_000004,seed_000004,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"January 8, 2013","January 8, 2013"
eval_nova-pro_000005,seed_000005,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia"
eval_nova-pro_000006,seed_000006,nova-pro,clean,,0.0,0.8,0.88,True,False,False,In August 2019.,August 2019
eval_nova-pro_000007,seed_000007,nova-pro,clean,,1.0,1.0,1.0,True,False,False,16 May 1950,16 May 1950
eval_nova-pro_000008,seed_000008,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Seattle,Seattle
eval_nova-pro_000009,seed_000009,nova-pro,clean,,1.0,1.0,1.0,True,False,False,19 March 1987,19 March 1987
eval_nova-pro_000010,seed_000010,nova-pro,clean,,1.0,1.0,1.0,True,False,False,University of Rhode Island,the University of Rhode Island
eval_nova-pro_000011,seed_000011,nova-pro,clean,,0.0,0.5,0.3333333333333333,True,False,False,"1905, annus mirabilis",1905
eval_nova-pro_000012,seed_000012,nova-pro,clean,,1.0,1.0,1.0,True,False,False,George Washington University,George Washington University
eval_nova-pro_000013,seed_000013,nova-pro,clean,,1.0,1.0,1.0,True,False,False,11 February 1973,11 February 1973
eval_nova-pro_000014,seed_000014,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"El Paso, Texas","El Paso, Texas"
eval_nova-pro_000015,seed_000015,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"August 16, 1877","August 16, 1877"
eval_nova-pro_000016,seed_000016,nova-pro,clean,,0.0,0.0,0.2,,True,False,I don't know.,senior investigator
eval_nova-pro_000017,seed_000017,nova-pro,clean,,0.0,0.6666666666666666,0.6666666666666666,True,False,False,"1785, £80",1785
eval_nova-pro_000018,seed_000018,nova-pro,clean,,1.0,1.0,1.0,True,False,False,1973,1973
eval_nova-pro_000019,seed_000019,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Automatically advancing number wheel.,automatically advancing number wheel
eval_nova-pro_000020,seed_000020,nova-pro,clean,,0.0,0.0,0.2,,True,False,I don't know.,Hungarian
eval_nova-pro_000021,seed_000021,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Ivar Giaever and Brian Josephson,Ivar Giaever and Brian Josephson
eval_nova-pro_000022,seed_000022,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"King's College, Cambridge","King's College, Cambridge"
eval_nova-pro_000023,seed_000023,nova-pro,clean,,0.0,0.7368421052631577,0.8928571428571429,True,False,False,He founded a new field of science called non-linear optics.,founded a new field of science we now call non-linear optics
eval_nova-pro_000024,seed_000024,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"""dean of mausoleum builders.""",the 'dean of mausoleum builders'
eval_nova-pro_000025,seed_000025,nova-pro,clean,,1.0,1.0,1.0,True,False,False,1958,1958
