sample_id,question,gold_answer,supporting_sentence,answer_type,difficulty,category_group,page_title,section_title,chunk_id,quality_score,n_clean_contexts,decision,question_clear,answer_in_evidence,answer_unique,needs_title,time_sensitive_ok,notes
seed_000000,When was Johannes Georg Bednorz born?,16 May 1950,"Johannes Georg Bednorz (German: [ˈɡeːɔʁk ˈbɛdnɔʁt͡s] ; born 16 May 1950) is a German physicist who, together with K. Alex Müller, discovered high-temperature superconductivity in ceramics, for which they shared the 1987 Nobel Prize in Physics.",date,easy,person,Georg Bednorz,Lead,7710506_1361409563_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000001,When did Karl Ferdinand Braun die?,20 April 1918,Karl Ferdinand Braun (German: [ˈfɛʁdinant ˈbʁaʊ̯n] ; 6 June 1850 – 20 April 1918) was a German applied physicist who shared the 1909 Nobel Prize in Physics with Guglielmo Marconi for their contributions to the development of radio.,date,easy,person,K. Ferdinand Braun,Lead,17297_1365388713_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000002,Where was Esposito born and raised?,"El Paso, Texas","Esposito was born and raised in El Paso, Texas.",location,easy,person,Lauren Esposito,Early life and education,58363854_1349955780_1_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000003,Where was Clinton Joseph Davisson born?,"Bloomington, Illinois","Clinton Joseph Davisson was born on October 22, 1881, in Bloomington, Illinois, the son of Joseph Davisson, an artisan from Ohio, and Mary Calvert, a schoolteacher from Pennsylvania.",location,easy,person,Clinton Davisson,Biography,930254_1366926984_1_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000004,"Who was a Russian-American tailor that invented modern jeans by using sturdy cloth and rivets to strengthen weak points in the seams and partnered with Levi Strauss, and when did this inventor die?",Jacob William Davis,"Jacob William Davis (Russian: Якоб Яковлевич Юфес , May 14, 1831 – January 20, 1908) was a Russian-American tailor who is credited with inventing modern jeans.",person,easy,person,Jacob W. Davis,Lead,30560630_1361136610_0_0,1.0,8,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
seed_000005,Where does Brian A. Barsky work?,"University of California, Berkeley","Brian A. Barsky is Professor of the Graduate School at the University of California, Berkeley, working in computer graphics and geometric modeling as well as in optometry and vision science.",location,easy,person,Brian A. Barsky,Lead,18957335_1361404950_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000006,Where is Daniel Abadi employed?,"University of Maryland, College Park","Daniel Abadi is the Darnell-Kanal Professor of Computer Science at University of Maryland, College Park.",location,easy,person,Daniel Abadi,Lead,67377437_1343535434_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000007,When was Albert Marsh born?,"August 16, 1877","Albert Marsh (August 16, 1877 – September 17, 1944) was an American metallurgist.",date,easy,person,Albert L. Marsh,Lead,3795899_1253442784_0_0,1.0,8,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000008,When was Henry Carmichael born?,"March 5, 1846","Henry Carmichael (March 5, 1846 – January 28, 1924) was an American physician, professor and inventor.",date,easy,person,Henry Carmichael,Lead,79610335_1345417097_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000009,In what year was Ashar Aziz born?,1959,"Ashar Aziz (Urdu: اشعار عزیز; born 1959) is a Pakistani–American electrical engineer, business executive, and philanthropist.",numeric,easy,person,Ashar Aziz,Lead,54498705_1340713013_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000010,Where was Sharla Perrine born?,Seattle,"Born in Seattle on December 4, 1929, Sharla Perrine moved to Santa Monica three years later.",location,easy,person,Sharla Boehm,Biography,58900508_1342388824_1_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000011,In which town did Hutchins and his brother Abel complete their final eight-month apprenticeship in watch repairs after their indenture with Simon Willard ended?,Abington,"After three years of indenture, they traveled to Abington, Connecticut, to serve a further eight-month apprenticeship in the watch repairs.",location,easy,person,Levi Hutchins,Biography,58201329_1366659126_1_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000012,When was Philipp Eduard Anton von Lenard born?,7 June 1862,Philipp Eduard Anton von Lenard (German: [ˈfɪlɪp ˈleːnaʁt] ; 7 June 1862 – 20 May 1947) was a Hungarian–German experimental physicist who received the Nobel Prize in Physics in 1905 for his work on cathode rays.,date,easy,person,Philipp Lenard,Lead,393676_1365489350_0_0,1.0,8,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000013,When did Werner Karl Heisenberg die?,1 February 1976,"Werner Karl Heisenberg (; German: [ˈvɛʁnɐ ˈhaɪzn̩bɛʁk] ; 5 December 1901 – 1 February 1976) was a German theoretical physicist, one of the main pioneers of the theory of quantum mechanics and a principal scientist in the German nuclear program during World War II.",date,easy,person,Werner Heisenberg,Lead,33130_1366967756_0_0,1.0,8,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000014,When was John Cromwell Mather born?,"August 7, 1946","John Cromwell Mather (born August 7, 1946) is an American astrophysicist and cosmologist.",date,easy,person,John C. Mather,Lead,7267746_1343668928_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000015,When did Richard Phillips Feynman die?,"February 15, 1988","Richard Phillips Feynman (; May 11, 1918 – February 15, 1988) was an American theoretical physicist.",date,easy,person,Richard Feynman,Lead,25523_1362607254_0_0,1.0,8,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000016,What type of instruments did Max Davis Liston develop that were crucial for monitoring air quality in Los Angeles in the 1950s?,instruments to measure smog and car exhaust emissions,"He also developed instruments to measure smog and car exhaust emissions, essential to attempts to improve Los Angeles air quality in the 1950s.",other,medium,person,Max D. Liston,Lead,45636246_1366142196_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000017,What event occurred when Joshua Lionel Cohen built his first toy train at age seven?,The engine exploded,"The engine exploded, damaging his parents' kitchen.",other,medium,person,Joshua Lionel Cowen,Early life,399047_1343193859_1_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000018,When did Cecil Frank Powell receive the Nobel Prize in Physics compared to his birth year?,1950,"Cecil Frank Powell (5 December 1903 – 9 August 1969) was a British experimental physicist who received the Nobel Prize in Physics in 1950 for heading the team that developed the photographic method of studying nuclear processes, and for the resulting discovery of the pion (pi-meson).",numeric,medium,person,C. F. Powell,Lead,396517_1363793272_0_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000019,Where did Charkowski work after earning her bachelor's degree and before joining the United States Department of Agriculture research service?,Cornell University,"After earning her bachelor's degree she moved to Cornell University, where she studied the hypersensitive response and pathogenicity system.",organization,medium,person,Amy Charkowski,Early life and education,66114762_1358622176_1_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000020,What position did Willard Sterling Boyle hold at Bellcomm where he assisted in selecting lunar landing sites and supporting the Apollo space program?,director of Space Science and Exploratory Studies,"As director of Space Science and Exploratory Studies at Bellcomm, Boyle helped select lunar landing sites and provided support for the Apollo space program.",other,medium,person,Willard Boyle,Lead,3626302_1359012569_0_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000021,Where did Berry study for his doctoral studies?,Pennsylvania State University,"For his doctoral studies, Berry studied spin transport in semiconductor heterostructures at Pennsylvania State University.",location,medium,person,Joseph J. Berry,Early life and education,73373484_1320956112_1_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000022,Who shared the 1972 Nobel Prize in Physics with Leon N. Cooper for his work on superconductivity?,John Bardeen and John Robert Schrieffer,Cooper developed the concept of Cooper pairs and collaborated with John Bardeen and John Robert Schrieffer to develop the BCS theory of conventional superconductivity.,organization,medium,person,Leon Cooper,Lead,396611_1364500771_0_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000023,Who is credited with paving the way for the art of the future according to the passage?,Loie Fuller,"Auguste Rodin said of her, 'Loie Fuller has paved the way for the art of the future.'",person,medium,person,Loie Fuller,Lead,697046_1358637881_0_0,1.0,1,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
seed_000024,What field did Connell specialize in after changing her career path from occupational therapy to surgery?,obstetrics,"Instead of becoming an occupational therapist as she had planned, she trained in surgery, specializing in obstetrics.",other,medium,person,Elizabeth Connell (doctor),Career,58386501_1353741546_2_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000025,What position did Susan M. Dymecki achieve in the 1980 U.S. Figure Skating Championships compared to other competitors?,7th,"Dymecki also competed internationally as an ice dancer, placing 7th in the 1980 U.S. Figure Skating Championships.",numeric,medium,person,Susan Dymecki,Lead,63312179_1348578087_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000026,What position did Eliassen hold in 2007 at Brigham and Women's Hospital?,Director of the Brigham and Women's Hospital Biorepository,"In 2007, Eliassen was made Director of the Brigham and Women's Hospital Biorepository and in 2009 Associated Director of the Nurses' Health Study.",other,medium,person,A. Heather Eliassen,Research and career,73951568_1314921242_2_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000027,Where was Burke raised?,Pittsburgh,Burke was raised in Pittsburgh.,location,medium,person,M. Grace Burke,Early life and education,70312163_1267144669_1_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000028,How old was Chandrasekhar when he died according to the passage?,84,"He was on the faculty at Chicago from 1937 until his death in 1995 at the age of 84, and was the Morton D. Hull Distinguished Service Professor of Theoretical Astrophysics.",numeric,medium,person,Subrahmanyan Chandrasekhar,Lead,145319_1365248967_0_1,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000029,"In what year did Werner Heisenberg publish his uncertainty principle, and what was his contribution to quantum mechanics before this publication?",1927,"He is known for the uncertainty principle, which he published in 1927.",date,medium,person,Werner Heisenberg,Lead,33130_1363695642_0_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000030,"When did Alfred Clark's wife, Ivy Sanders, die after their marriage in 1921?",1973,"In 1921 he married Ivy Sanders, who survived him and died in 1973.",date,medium,person,Alfred Clark (director),Lead,52112609_1282620194_0_0,1.0,1,fix,no,yes,no,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation; multiple candidate values for answer_type in evidence
seed_000031,In which year did Dennis Gabor obtain British citizenship and what was his nationality before that year?,Hungarian,Dennis Gabor (5 June 1900 – 9 February 1979) was a Hungarian-British physicist who received the Nobel Prize in Physics in 1971 for his invention of holography.,other,medium,person,Dennis Gabor,Lead,172883_1362235472_0_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000032,"What degree did Hoberman earn from Cooper Union in 1979, and what field did it belong to?",bachelor's degree in sculpture,"He studied liberal arts at Brown University, and went on to earn a bachelor's degree in sculpture from Cooper Union in 1979, and a master's degree in mechanical engineering from Columbia University.",other,hard,person,Chuck Hoberman,Early life and education,1587864_1346343241_1_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000033,Who shared the 1964 Nobel Prize in Physics with Nikolay Gennadiyevich Basov for their work in quantum electronics?,Alexander Prokhorov and Charles Hard Townes,"For his fundamental work in the field of quantum electronics that led to the development of laser and maser, Basov shared the 1964 Nobel Prize in Physics with Alexander Prokhorov and Charles Hard Townes.",other,hard,person,Nikolay Basov,Lead,1555268_1355156729_0_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000034,In which city did Karl Alexander Müller's father study music and where did Müller later attend school after moving there?,Salzburg,"His family immediately moved to Salzburg, Austria, where his father was studying music. Alex and his mother then moved to Dornach, the home of his maternal grandparents.",location,hard,person,K. Alex Müller,Early life and education,7790420_1361413155_1_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000035,In what year did Murray Gell-Mann receive the Nobel Prize in Physics and what specific contributions were recognized by this award?,1969,Murray Gell-Mann received the 1969 Nobel Prize in Physics for his contributions and discoveries concerning the classification of elementary particles and their interactions.,date,hard,person,Murray Gell-Mann,Lead,20476_1362235164_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000036,"Who was the co-inventor of the handheld calculator and thermal printer, and what was his role in realizing the first integrated circuit at Texas Instruments in 1958?",Jack St. Clair Kilby,"Jack St. Clair Kilby (November 8, 1923 – June 20, 2005) was an American electrical engineer who took part, along with Robert Noyce of Fairchild Semiconductor, in the realization of the first integrated circuit while working at Texas Instruments in 1958.",person,hard,person,Jack Kilby,Lead,64069_1364281490_0_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000037,Who shared the 1955 Nobel Prize in Physics with Willis Eugene Lamb Jr. for his work on determining the electron energies in a hydrogen atom?,Polykarp Kusch,"For this work, Lamb shared the 1955 Nobel Prize in Physics with Polykarp Kusch.",person,hard,person,Willis Lamb,Lead,456746_1355169852_0_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000038,Who shared the 2020 Nobel Prize in Physics with Andrea Mia Ghez for the discovery of a supermassive compact object at the center of our galaxy?,Reinhard Genzel,"She shared the 2020 Nobel Prize in Physics with Reinhard Genzel ""for the discovery of a supermassive compact object at the centre of our galaxy"".",person,hard,person,Andrea M. Ghez,Lead,704276_1347415688_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000039,"In which year did Arthur Holly Compton receive the National Research Council Fellowship that allowed him to study abroad, and what was the significance of his subsequent research at the Cavendish Laboratory in England?",1919,"In 1919, Compton was awarded one of the first two National Research Council Fellowships that allowed students to study abroad. He chose to go to the University of Cambridge's Cavendish Laboratory in England, where he studied the scattering and absorption of gamma rays.",date,hard,person,Arthur Compton,Lead,432000_1357837754_0_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000040,When was Port Moresby named after Admiral of the Fleet Sir Fairfax Moresby?,1873,"The first Briton to see it was Royal Navy Captain John Moresby in 1873. It was named in honour of his father, Admiral of the Fleet Sir Fairfax Moresby.",date,easy,location,Port Moresby,Lead,57387_1362815727_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000041,Which country is mentioned as the only federation not to accord a special administrative subdivision to its capital?,Canada,"Unusually, Canada is the only federation in the world not to accord a special administrative subdivision to its capital;",other,easy,location,Capital districts and territories,Lead,1604190_1352759269_0_0,1.0,8,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000042,Where is White Horse Hill National Game Preserve located?,on the shore of Devils Lake,"White Horse Hill National Game Preserve (Dakota: Šúŋkawakháŋ Ská Pahá, formerly known as Sullys Hill National Game Preserve) is a National Wildlife Refuge and nature center located on the shore of Devils Lake in Benson County, North Dakota, within the Spirit Lake Tribe reservation.",location,easy,location,White Horse Hill National Game Preserve,Lead,1072984_1362948215_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000043,Where is Gaborone located in relation to other geographical features?,between Kgale Hill and Oodi Hill,"Gaborone is situated between Kgale Hill and Oodi Hill, near the confluence of the Notwane River and Segoditshane River in the southeastern corner of Botswana, within 15 kilometres (9.3 mi) from the South African border.",location,easy,location,Gaborone,Lead,56664_1365654071_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000044,What is the height of Mount Saint Elias in feet?,"18,008","Mount Saint Elias (Was'eitushaa, also designated Boundary Peak 186) is an 18,008 foot (5,489 m) mountain located approximately 11 miles (18 km) northeast of the Pacific Ocean on the Yukon-Alaska border.",numeric,easy,location,Mount Saint Elias,Lead,642171_1358320391_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000045,What is the capital and largest city of Indonesia?,Jakarta,"Jakarta, officially the Special Capital Region of Jakarta, is the capital and largest city of Indonesia, with administrative status equivalent to a province.",location,easy,location,Jakarta,Lead,16275_1365977073_0_0,1.0,1,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
seed_000046,In which state is Wheeler Peak located?,Nevada,"Wheeler Peak is the tallest mountain in the Snake Range and in White Pine County, in Nevada, United States.",location,easy,location,Wheeler Peak (Nevada),Lead,1010057_1360088788_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000047,When was the Federal Capital Territory formed?,1976,"The FCT was formed in 1976 from parts of the states of old Kaduna, Kwara, Niger, and Plateau states, with the bulk of land mass carved out of Niger state.",date,easy,location,Federal Capital Territory (Nigeria),Lead,1324670_1362330901_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000048,Where is the Federal District located?,Center-West Region,"Located in the Center-West Region, it is the smallest Brazilian federal unit and the only one that has no municipalities, being divided into 35 administrative regions.",location,easy,location,Federal District (Brazil),Lead,145964_1365616245_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000049,Where is the Cumberland Gap National Historical Park located?,"at the border between Kentucky, Tennessee, and Virginia","The Cumberland Gap National Historical Park is a United States National Historical Park located at the border between Kentucky, Tennessee, and Virginia, centered on the Cumberland Gap, a natural break in the Appalachian Mountains.",location,easy,location,Cumberland Gap National Historical Park,Lead,938166_1345009696_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000050,What is the height of the tallest peak of Haleakalā in feet?,"10,023","The tallest peak of Haleakalā, at 10,023 feet (3,055 m), is Puʻu ʻUlaʻula (Red Hill).",numeric,easy,location,Haleakalā,Lead,295459_1363030525_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000051,When was the designation of city of regional significance created?,1932,The designation was created with the introduction of oblasts in 1932.,numeric,easy,location,City of regional significance (Ukraine),Lead,36564506_1352846162_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000052,When was Islamabad established as Pakistan's national capital?,1967,"It is built as a planned city in the 1960s and established in 1967 along the Margalla Hills, Islamabad replaced Karachi as Pakistan's national capital.",date,easy,location,Islamabad,Lead,51153_1365457606_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000053,When was Amarna established?,1346 BC,"The city was established in 1346 BC, built at the direction of the Pharaoh Akhenaten, and abandoned shortly after his death in 1332 BC.",date,easy,location,Amarna,Lead,79845_1365708063_0_0,1.0,1,fix,yes,yes,no,no,yes,[auto-review] multiple candidate values for answer_type in evidence
seed_000054,What is the 2022 population of Bamako?,"4,227,569","Bamako is the capital and largest city of Mali with a 2022 population of 4,227,569.",numeric,easy,location,Bamako,Lead,56606_1360404380_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000055,When did Manila regain its status as the capital city?,1976,"The current capital city, Manila, has been the country's capital throughout most of its history and regained the title through a presidential order in 1976, with its metropolitan area serving as the National Capital Region (NCR) since 1978.",date,easy,location,Capital of the Philippines,Lead,7808968_1353911190_0_0,1.0,8,fix,no,yes,no,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation; multiple candidate values for answer_type in evidence
seed_000056,How many inhabitants does the Asunción metropolitan area have?,around two million,The Asunción metropolitan area has around two million inhabitants.,numeric,medium,location,Asunción,Lead,56836_1361969292_0_1,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000057,"How does the volume of Mauna Loa compare to that of its neighbor, Mauna Kea?",about 125 feet (38 m) lower,"Its peak is about 125 feet (38 m) lower than that of its neighbor, Mauna Kea.",numeric,medium,location,Mauna Loa,Lead,158835_1364956722_0_0,1.0,1,fix,no,yes,yes,yes,yes,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation
seed_000058,Which lake is the largest alpine lake in the United States and also the largest lake in the park?,Jackson Lake,"Elevation of the region classes these as alpine lakes, with Jackson lake being the largest alpine lake in the United States.",location,medium,location,Lakes of Grand Teton National Park,Lead,71673455_1363529721_0_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000059,"What was the Distrito Nacional's status before October 16, 2001, compared to its current status as a subdivision of the Dominican Republic?",including what is now known as Santo Domingo Province,"Before October 16, 2001, the Distrito Nacional was much larger, including what is now known as Santo Domingo Province.",other,medium,location,Distrito Nacional,Lead,998671_1344777481_0_0,1.0,1,fix,no,yes,yes,yes,no,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation; question uses relative/time-sensitive phrasing
seed_000060,In which year did the executive and judicial branches of the Malaysian federal government move to Putrajaya?,1999,The city remained the seat of the executive and judicial branches of the Malaysian federal government until these were relocated to Putrajaya in early 1999.,date,medium,location,Kuala Lumpur,Lead,16854_1365784851_0_1,1.0,8,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
seed_000061,Which city was the capital during the period immediately before Anurādhapura?,Upatissagāma,"Upatissagāma, 474 BC–438 BC",location,medium,location,Capital of Sri Lanka,Pre-Anuradhapura period (543–377 BC),16178203_1361760764_3_0,1.0,8,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000062,"Which two prominent figures are associated with Sufism and Qawwali music in Delhi, and what dialect of Delhi was part of a linguistic development that gave rise to Urdu literature?",Nizamuddin Auliya and Amir Khusrau,The names of Nizamuddin Auliya and Amir Khusrau are prominently associated with it.,person,medium,location,Delhi,Lead,37756_1365313629_0_1,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000063,When did Mauna Loa's most recent eruption begin?,"November 27, 2022","The volcano's most recent eruption began on November 27, 2022, and ended on December 13, 2022.",date,medium,location,Mauna Loa,Lead,158835_1364956722_0_1,1.0,1,fix,yes,yes,no,no,no,[auto-review] multiple candidate values for answer_type in evidence; question uses relative/time-sensitive phrasing
seed_000064,In which decade was Gaborone planned to become the capital of the Bechuanaland Protectorate and what was a key factor for this plan despite conflicts in the region during the 1980s?,mid-1960s,"Because it was not affiliated with any specific indigenous group and was close to fresh water, the city was planned to be the capital in the mid-1960s when the Bechuanaland Protectorate became an independent nation.",date,medium,location,Gaborone,Lead,56664_1365654071_0_1,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000065,What type of city was Adelaide known as during the colonial period and what is it known for today in terms of population ranking?,third-most populous city,"Colonial Adelaide became known as the ""City of Churches"" due to its diversity of faiths. It was Australia's third-most populous city until the postwar era.",other,medium,location,Adelaide,Lead,1148_1365771377_0_1,1.0,1,fix,no,yes,yes,yes,no,[auto-review] question relies on unresolved pronoun/reference or is too short; question needs page title for disambiguation; question uses relative/time-sensitive phrasing
seed_000066,Which city served as the preferred seat of government for the Holy Roman Empire during Charlemagne's reign and was also the site for the coronation of 31 Holy Roman Emperors before moving to Frankfurt?,Aachen,"The medieval German Holy Roman Empire used to have Aachen as its preferred seat of government during Charlemagne's reign, and until 1531 it was the place where 31 Holy Roman Emperors were crowned Kings of the Germans.",location,medium,location,Capital of Germany,Pre-1871,169339_1350018545_1_0,1.0,8,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
seed_000067,"In which month did Port Moresby host the APEC summit, and what was a concern related to the city's reputation at that time?",November,"Port Moresby hosted the APEC summit in November 2018. However, there were concerns about security, given the capital's reputation for violent crime.",date,medium,location,Port Moresby,Lead,57387_1362815727_0_1,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000068,What were the early inhabitants trading in the 600s BCE that contributed to the wealth of the chiefdoms in the Niger River Valley area?,"gold, ivory, kola nuts, and salt","The early inhabitants traded gold, ivory, kola nuts, and salt.",other,medium,location,Bamako,History,56606_1360404380_1_0,1.0,1,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
seed_000069,What was the reason for the controversy surrounding the creation of the Federal Capital Territory in 1948?,resistance from the local groups in Sindh,"This move, however, was controversial as the territory was created despite resistance from the local groups in Sindh.",other,medium,location,Federal Capital Territory (Pakistan),Lead,3913074_1358990902_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000070,What is the relationship between Asunción and the cities founded by Spanish colonial expeditions?,the Mother of Cities,"Asunción is one of the oldest cities in South America and the longest continually inhabited area in the Río de la Plata Basin; for this reason it is known as ""the Mother of Cities"".",other,medium,location,Asunción,Lead,56836_1361969292_0_0,1.0,1,keep,yes,yes,yes,no,yes,[auto-review] no issues detected
seed_000071,"What percentage of the Philippines' GDP does the region account for, and how does this compare to other major ASEAN country subdivisions by GDP in 1975?",36%,The region accounts for 36% of the gross domestic product (GDP) of the Philippines.,numeric,medium,location,Metro Manila,Lead,72340_1365785909_0_1,1.0,1,keep,yes,yes,yes,yes,yes,[auto-review] question needs page title for disambiguation
