eval_id,sample_id,model_name,condition,severity,exact_match,token_f1,semantic_similarity,llm_judge_correct,abstained,hallucinated,prediction,gold_answer
eval_nova-pro_000000,seed_000000,nova-pro,clean,,1.0,1.0,1.0,True,False,False,16 May 1950,16 May 1950
eval_nova-pro_000001,seed_000001,nova-pro,clean,,1.0,1.0,1.0,True,False,False,20 April 1918,20 April 1918
eval_nova-pro_000002,seed_000002,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"El Paso, Texas","El Paso, Texas"
eval_nova-pro_000003,seed_000003,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"Bloomington, Illinois","Bloomington, Illinois"
eval_nova-pro_000004,seed_000004,nova-pro,clean,,0.0,0.0,0.0,,True,False,,Jacob William Davis
eval_nova-pro_000005,seed_000005,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"University of California, Berkeley","University of California, Berkeley"
eval_nova-pro_000006,seed_000006,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"University of Maryland, College Park","University of Maryland, College Park"
eval_nova-pro_000007,seed_000007,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"August 16, 1877","August 16, 1877"
eval_nova-pro_000008,seed_000008,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"March 5, 1846","March 5, 1846"
eval_nova-pro_000009,seed_000009,nova-pro,clean,,1.0,1.0,1.0,True,False,False,1959,1959
eval_nova-pro_000010,seed_000010,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Seattle,Seattle
eval_nova-pro_000011,seed_000011,nova-pro,clean,,0.0,0.6666666666666666,0.5714285714285714,True,False,False,"Abington, Connecticut",Abington
eval_nova-pro_000012,seed_000012,nova-pro,clean,,1.0,1.0,1.0,True,False,False,7 June 1862,7 June 1862
eval_nova-pro_000013,seed_000013,nova-pro,clean,,1.0,1.0,1.0,True,False,False,1 February 1976,1 February 1976
eval_nova-pro_000014,seed_000014,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"August 7, 1946","August 7, 1946"
eval_nova-pro_000015,seed_000015,nova-pro,clean,,1.0,1.0,1.0,True,False,False,"February 15, 1988","February 15, 1988"
eval_nova-pro_000016,seed_000016,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Instruments to measure smog and car exhaust emissions.,instruments to measure smog and car exhaust emissions
eval_nova-pro_000017,seed_000017,nova-pro,clean,,0.0,0.0,0.23076923076923078,,True,False,I don't know.,The engine exploded
eval_nova-pro_000018,seed_000018,nova-pro,clean,,0.0,0.0,0.0,True,False,False,47 years after his birth.,1950
eval_nova-pro_000019,seed_000019,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Cornell University,Cornell University
eval_nova-pro_000020,seed_000020,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Director of Space Science and Exploratory Studies,director of Space Science and Exploratory Studies
eval_nova-pro_000021,seed_000021,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Pennsylvania State University,Pennsylvania State University
eval_nova-pro_000022,seed_000022,nova-pro,clean,,1.0,1.0,1.0,True,False,False,John Bardeen and John Robert Schrieffer,John Bardeen and John Robert Schrieffer
eval_nova-pro_000023,seed_000023,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Loie Fuller,Loie Fuller
eval_nova-pro_000024,seed_000024,nova-pro,clean,,1.0,1.0,1.0,False,False,False,obstetrics,obstetrics
eval_nova-pro_000025,seed_000025,nova-pro,clean,,1.0,1.0,1.0,True,False,False,7th,7th
eval_nova-pro_000026,seed_000026,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Director of the Brigham and Women's Hospital Biorepository,Director of the Brigham and Women's Hospital Biorepository
eval_nova-pro_000027,seed_000027,nova-pro,clean,,1.0,1.0,1.0,True,False,False,Pittsburgh,Pittsburgh
eval_nova-pro_000028,seed_000028,nova-pro,clean,,1.0,1.0,1.0,True,False,False,84,84
